,"('ref', 'dev_id')",pkt_chain
0,067935F20539,[4]
1,1265FF57FE48,"[325, 341]"
2,12A52E317A60,"[136, 144]"
3,36139E30AF17,[205]
4,3868A4A4A638,"[34, 103, 182, 284, 377, 451, 526, 605]"
5,3868A4A4A66C,"[2, 76, 141, 247, 330, 420, 491, 569]"
6,38DEADA1E447,"[47, 114, 185, 272, 358, 435, 508, 582]"
7,982CBC126B23,"[10, 26, 33, 43, 63, 75, 90, 100, 107, 118, 126, 143, 161, 173, 193, 204, 218, 230, 243, 262, 269, 290, 304, 314, 332, 356, 371, 383, 401, 412, 428, 442, 448, 465, 476, 488, 507, 519, 528, 546, 559, 571, 592, 600]"
8,CEF9DC380E42,[112]
9,DACA21E5646C,[258]
